DateTime,AddedIPs,RemovedIPs
1589716590,0,2
1589718570,0,1
1589720720,1,0
1589728338,0,1
1589730315,1,2
1589746342,1,0
1589748262,2,0
1589750216,1,2
1589754021,1,0
1589757859,1,0
1589763670,0,1
1589767514,1,0
1589782842,1,0
1589784735,1,0
1589788605,1,0
1589790755,0,1
1589792724,1,0
1589794590,0,1
1589800593,1,0
1589802493,0,1
1589804427,1,0
1589806336,0,1
1589808267,1,0
1589816454,1,1
1589822201,1,0
1589827947,2,0
1589833699,0,2
1589835905,1,2
1589837784,1,0
1589840009,0,1
1589843779,1,0
1589845959,1,1
1589849783,1,0
1589854845,0,1
1589870214,3,2
1589875949,0,1
1589879787,0,1
1589883641,1,0
